date,total_cases,total_deaths,population,hospital_beds_per_thousand
6/30/2020,26239,84,1701583,2
7/1/2020,26758,87,1701583,2
7/2/2020,27414,92,1701583,2
7/3/2020,27837,94,1701583,2
7/4/2020,28410,95,1701583,2
7/5/2020,28857,97,1701583,2
7/6/2020,29367,97,1701583,2
7/7/2020,29821,98,1701583,2
7/8/2020,30321,98,1701583,2
7/9/2020,30931,100,1701583,2
7/10/2020,31528,103,1701583,2
7/11/2020,32039,104,1701583,2
7/12/2020,32470,104,1701583,2
7/13/2020,32941,109,1701583,2
7/14/2020,33476,109,1701583,2
7/15/2020,34078,111,1701583,2
7/16/2020,34560,117,1701583,2
7/17/2020,35084,121,1701583,2
7/18/2020,35473,124,1701583,2
7/19/2020,36004,124,1701583,2
7/20/2020,36422,126,1701583,2
7/21/2020,36936,128,1701583,2
7/22/2020,37316,129,1701583,2
7/23/2020,37637,130,1701583,2
7/24/2020,37996,134,1701583,2
7/25/2020,38458,136,1701583,2
7/26/2020,38747,137,1701583,2
7/27/2020,39131,140,1701583,2
7/28/2020,39482,141,1701583,2
7/29/2020,39921,141,1701583,2
